user,routine_id,session_date,location,workout_time,active_kilocalories,total_kilocalories,avg_heart_rate
david,1,2024-12-23 20:06:00,Córdoba,0:35:54,219,314,127
david,1,2024-12-29 18:29:00,Córdoba,0:42:45,294,405,130
david,1,2026-01-02 17:54:00,Córdoba,0:32:36,188,273,124
david,1,2026-01-12 20:16:00,Córdoba,0:47:32,337,464,132
david,1,2026-01-13 18:14:00,Córdoba,0:33:58,209,300,125
david,1,2026-01-14 18:13:00,Córdoba,0:35:37,198,292,117
david,1,2026-01-16 17:09:00,Córdoba,0:43:08,249,362,123
david,1,2026-01-21 20:10:00,Córdoba,0:45:32,279,400,130
david,1,2026-01-22 18:59:00,Córdoba,0:41:20,229,338,120
david,1,2026-01-23 20:23:00,Córdoba,0:37:12,208,306,119
david,1,2026-01-26 19:15:00,Córdoba,0:29:41,175,253,125
david,1,2026-01-27 18:54:00,Córdoba,0:14:29,85,123,117
david,1,2026-02-03 18:48:00,Córdoba,0:39:47,210,314,118
david,1,2026-02-04 19:24:00,Córdoba,0:39:18,230,333,124
david,1,2026-02-10 20:33:00,Córdoba,0:35:10,203,295,118
david,1,2026-03-23 20:21:00,Córdoba,0:39:49,275,380,130
david,1,2026-03-24 20:13:00,Córdoba,0:39:30,239,343,120
david,1,2026-03-25 20:24:00,Córdoba,0:35:13,231,324,127
david,1,2026-03-30 20:03:00,Córdoba,0:41:16,252,361,123
david,1,2026-03-31 20:39:00,Córdoba,0:33:29,185,274,122
david,1,2026-04-13 20:05:00,Córdoba,0:32:54,200,287,123
david,1,2026-04-20 19:27:00,Córdoba,0:31:55,205,289,126